TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA	COLUMN_COMMENT
account_asset_balances	account_asset_balance_id	bigint	NO	NULL	PRI	auto_increment	
account_asset_balances	account_id	bigint	NO	NULL	MUL		??ID?Account ID???? accounts.account_id?????CASCADE??/RESTRICT??
account_asset_balances	asset_code	varchar(50)	NO	NULL	MUL		?????Asset Code??? DIAMOND?red_shard?red_crystal ???????(account_id, asset_code)
account_asset_balances	available_amount	bigint	NO	0			?????Available Amount?????????????????????????????????????????????????BIGINT?????????
account_asset_balances	frozen_amount	bigint	NO	0			?????Frozen Amount???????????????????????????????DIAMOND?????????????????????????????/??????? available_amount??????
account_asset_balances	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	??????????
account_asset_balances	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	??????????
account_asset_balances	lottery_campaign_id	varchar(50)	YES	NULL	MUL		????ID?? BUDGET_POINTS ???????? NULL?
account_asset_balances	lottery_campaign_key	varchar(50)	NO	NULL		STORED GENERATED	????????????COALESCE(lottery_campaign_id, GLOBAL)
accounts	account_id	bigint	NO	NULL	PRI	auto_increment	??ID???????
accounts	account_type	enum('user','system')	NO	NULL	MUL		?????Account Type??user-????????????user_id???| system-????????????system_code???
accounts	user_id	int	YES	NULL	UNI		??ID?User ID??? account_type=user ???????? account_type=system ??NULL????? users.user_id
accounts	system_code	varchar(50)	YES	NULL	UNI		???????System Code??? account_type=system ???????????????SYSTEM_PLATFORM_FEE????????SYSTEM_MINT???????SYSTEM_BURN???????SYSTEM_ESCROW???/???
accounts	status	enum('active','disabled')	NO	active			?????Account Status??active-?????????| disabled-???????????????
accounts	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	??????????
accounts	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	??????????
ad_antifraud_logs	ad_antifraud_log_id	bigint	NO	NULL	PRI	auto_increment	?????????
ad_antifraud_logs	user_id	int	NO	NULL	MUL		???? ID
ad_antifraud_logs	ad_campaign_id	int	NO	NULL	MUL		?????? ID
ad_antifraud_logs	event_type	varchar(20)	NO	NULL			?????impression / click
ad_antifraud_logs	rule_triggered	varchar(50)	NO	NULL			??????????
ad_antifraud_logs	verdict	varchar(20)	NO	NULL			?????valid / invalid / suspicious
ad_antifraud_logs	raw_data	json	YES	NULL			???????????
ad_antifraud_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	????
ad_attribution_logs	ad_attribution_log_id	bigint	NO	NULL	PRI	auto_increment	??????
ad_attribution_logs	ad_click_log_id	bigint	NO	NULL	MUL		????????? ID
ad_attribution_logs	ad_campaign_id	int	NO	NULL	MUL		???? ID
ad_attribution_logs	user_id	int	NO	NULL	MUL		???? ID
ad_attribution_logs	conversion_type	varchar(30)	NO	NULL	MUL		?????lottery_draw / exchange / market_buy / page_view
ad_attribution_logs	conversion_entity_id	varchar(100)	YES	NULL			???? ID?? draw_id / exchange_record_id?
ad_attribution_logs	click_at	datetime	NO	NULL	MUL		??????
ad_attribution_logs	conversion_at	datetime	NO	NULL			??????
ad_attribution_logs	attribution_window_hours	int	NO	24			??????????7?24???
ad_attribution_logs	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	
ad_bid_logs	ad_bid_log_id	bigint	NO	NULL	PRI	auto_increment	???????BIGINT?
ad_bid_logs	ad_slot_id	int	NO	NULL	MUL		?????? ID
ad_bid_logs	ad_campaign_id	int	NO	NULL	MUL		????????? ID
ad_bid_logs	bid_amount_diamond	int	NO	NULL			??????
ad_bid_logs	is_winner	tinyint(1)	NO	NULL			????
ad_bid_logs	target_user_id	int	NO	NULL	MUL		???? ID??????
ad_bid_logs	lose_reason	varchar(50)	YES	NULL			?????outbid / targeting_mismatch / budget_exhausted
