TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE
account_asset_balances	chk_budget_points_lottery_campaign	CHECK
account_asset_balances	account_asset_balances_ibfk_1	FOREIGN KEY
account_asset_balances	PRIMARY	PRIMARY KEY
account_asset_balances	uk_account_asset_lottery_campaign_key	UNIQUE
accounts	accounts_ibfk_1	FOREIGN KEY
accounts	PRIMARY	PRIMARY KEY
accounts	uk_accounts_system_code	UNIQUE
accounts	uk_accounts_user_id	UNIQUE
ad_antifraud_logs	PRIMARY	PRIMARY KEY
ad_attribution_logs	ad_attribution_logs_ibfk_1	FOREIGN KEY
ad_attribution_logs	ad_attribution_logs_ibfk_2	FOREIGN KEY
ad_attribution_logs	ad_attribution_logs_ibfk_3	FOREIGN KEY
ad_attribution_logs	PRIMARY	PRIMARY KEY
ad_bid_logs	ad_bid_logs_ibfk_1	FOREIGN KEY
ad_bid_logs	ad_bid_logs_ibfk_2	FOREIGN KEY
ad_bid_logs	ad_bid_logs_ibfk_3	FOREIGN KEY
ad_bid_logs	PRIMARY	PRIMARY KEY
ad_billing_records	ad_billing_records_ibfk_1	FOREIGN KEY
ad_billing_records	ad_billing_records_ibfk_2	FOREIGN KEY
ad_billing_records	PRIMARY	PRIMARY KEY
ad_billing_records	business_id	UNIQUE
ad_billing_records	uk_ad_billing_records_billing_no	UNIQUE
ad_campaigns	ad_campaigns_ibfk_1	FOREIGN KEY
ad_campaigns	ad_campaigns_ibfk_2	FOREIGN KEY
ad_campaigns	ad_campaigns_ibfk_3	FOREIGN KEY
ad_campaigns	PRIMARY	PRIMARY KEY
ad_campaigns	business_id	UNIQUE
ad_click_logs	ad_click_logs_ibfk_1	FOREIGN KEY
ad_click_logs	ad_click_logs_ibfk_2	FOREIGN KEY
ad_click_logs	ad_click_logs_ibfk_3	FOREIGN KEY
ad_click_logs	PRIMARY	PRIMARY KEY
ad_creatives	ad_creatives_ibfk_1	FOREIGN KEY
ad_creatives	ad_creatives_ibfk_2	FOREIGN KEY
ad_creatives	ad_creatives_primary_media_id_foreign_idx	FOREIGN KEY
ad_creatives	PRIMARY	PRIMARY KEY
ad_dau_daily_stats	PRIMARY	PRIMARY KEY
ad_dau_daily_stats	stat_date	UNIQUE
ad_impression_logs	ad_impression_logs_ibfk_1	FOREIGN KEY
ad_impression_logs	ad_impression_logs_ibfk_2	FOREIGN KEY
ad_impression_logs	ad_impression_logs_ibfk_3	FOREIGN KEY
ad_impression_logs	PRIMARY	PRIMARY KEY
ad_interaction_logs	ad_interaction_logs_ibfk_1	FOREIGN KEY
ad_interaction_logs	ad_interaction_logs_ibfk_2	FOREIGN KEY
ad_interaction_logs	ad_interaction_logs_ibfk_3	FOREIGN KEY
ad_interaction_logs	PRIMARY	PRIMARY KEY
ad_price_adjustment_logs	PRIMARY	PRIMARY KEY
ad_report_daily_snapshots	ad_report_daily_snapshots_ibfk_1	FOREIGN KEY
ad_report_daily_snapshots	ad_report_daily_snapshots_ibfk_2	FOREIGN KEY
ad_report_daily_snapshots	PRIMARY	PRIMARY KEY
ad_report_daily_snapshots	uk_ards_date_campaign_slot	UNIQUE
ad_slots	ad_slots_zone_id_foreign_idx	FOREIGN KEY
ad_slots	PRIMARY	PRIMARY KEY
ad_slots	slot_key	UNIQUE
ad_target_zones	ad_target_zones_ibfk_1	FOREIGN KEY
ad_target_zones	PRIMARY	PRIMARY KEY
ad_zone_group_members	ad_zone_group_members_ibfk_1	FOREIGN KEY
ad_zone_group_members	ad_zone_group_members_ibfk_2	FOREIGN KEY
ad_zone_group_members	PRIMARY	PRIMARY KEY
ad_zone_group_members	uk_group_zone	UNIQUE
ad_zone_groups	PRIMARY	PRIMARY KEY
admin_notifications	admin_notifications_ibfk_1	FOREIGN KEY
admin_notifications	PRIMARY	PRIMARY KEY
admin_operation_logs	admin_operation_logs_ibfk_1	FOREIGN KEY
admin_operation_logs	PRIMARY	PRIMARY KEY
admin_operation_logs	uk_admin_operation_logs_idempotency_key	UNIQUE
administrative_regions	PRIMARY	PRIMARY KEY
alert_silence_rules	PRIMARY	PRIMARY KEY
api_idempotency_requests	PRIMARY	PRIMARY KEY
api_idempotency_requests	idempotency_key	UNIQUE
approval_chain_instances	fk_aci_review	FOREIGN KEY
approval_chain_instances	fk_aci_submitter	FOREIGN KEY
approval_chain_instances	fk_aci_template	FOREIGN KEY
approval_chain_instances	PRIMARY	PRIMARY KEY
approval_chain_instances	uk_idempotency_key	UNIQUE
approval_chain_nodes	fk_acn_escalate	FOREIGN KEY
approval_chain_nodes	fk_acn_role	FOREIGN KEY
approval_chain_nodes	fk_acn_template	FOREIGN KEY
approval_chain_nodes	fk_acn_user	FOREIGN KEY
approval_chain_nodes	PRIMARY	PRIMARY KEY
approval_chain_steps	fk_acs_actioned_by	FOREIGN KEY
approval_chain_steps	fk_acs_assignee_role	FOREIGN KEY
approval_chain_steps	fk_acs_assignee_user	FOREIGN KEY
approval_chain_steps	fk_acs_instance	FOREIGN KEY
approval_chain_steps	fk_acs_node	FOREIGN KEY
approval_chain_steps	PRIMARY	PRIMARY KEY
approval_chain_templates	fk_act_created_by	FOREIGN KEY
approval_chain_templates	PRIMARY	PRIMARY KEY
approval_chain_templates	uk_template_code	UNIQUE
asset_group_defs	PRIMARY	PRIMARY KEY
asset_transactions	asset_transactions_account_id_foreign_idx	FOREIGN KEY
asset_transactions	PRIMARY	PRIMARY KEY
asset_transactions	uk_asset_transactions_transaction_no	UNIQUE
asset_transactions	uk_idempotency_key	UNIQUE
attribute_options	attribute_options_ibfk_1	FOREIGN KEY
attribute_options	PRIMARY	PRIMARY KEY
attributes	PRIMARY	PRIMARY KEY
attributes	attribute_code	UNIQUE
auction_bids	auction_bids_ibfk_1	FOREIGN KEY
auction_bids	auction_bids_ibfk_2	FOREIGN KEY
auction_bids	PRIMARY	PRIMARY KEY
auction_bids	idempotency_key	UNIQUE
auction_listings	auction_listings_ibfk_1	FOREIGN KEY
auction_listings	auction_listings_ibfk_2	FOREIGN KEY
auction_listings	auction_listings_ibfk_3	FOREIGN KEY
auction_listings	PRIMARY	PRIMARY KEY
authentication_sessions	authentication_sessions_ibfk_1	FOREIGN KEY
authentication_sessions	PRIMARY	PRIMARY KEY
authentication_sessions	session_token	UNIQUE
batch_operation_logs	batch_operation_logs_ibfk_1	FOREIGN KEY
batch_operation_logs	PRIMARY	PRIMARY KEY
batch_operation_logs	idempotency_key	UNIQUE
batch_operation_logs	idx_batch_ops_idempotency_key	UNIQUE
bid_products	bid_products_ibfk_2	FOREIGN KEY
bid_products	bid_products_ibfk_3	FOREIGN KEY
bid_products	fk_bid_products_exchange_item	FOREIGN KEY
bid_products	PRIMARY	PRIMARY KEY
bid_records	bid_records_ibfk_1	FOREIGN KEY
bid_records	bid_records_ibfk_2	FOREIGN KEY
bid_records	PRIMARY	PRIMARY KEY
bid_records	idempotency_key	UNIQUE
categories	categories_ibfk_1	FOREIGN KEY
categories	categories_ibfk_2	FOREIGN KEY
categories	PRIMARY	PRIMARY KEY
categories	category_code	UNIQUE
category_attributes	category_attributes_ibfk_1	FOREIGN KEY
category_attributes	category_attributes_ibfk_2	FOREIGN KEY
