CONSTRAINT_NAME	TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
account_asset_balances_ibfk_1	account_asset_balances	account_id	accounts	account_id
accounts_ibfk_1	accounts	user_id	users	user_id
ad_attribution_logs_ibfk_1	ad_attribution_logs	ad_click_log_id	ad_click_logs	ad_click_log_id
ad_attribution_logs_ibfk_2	ad_attribution_logs	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_attribution_logs_ibfk_3	ad_attribution_logs	user_id	users	user_id
ad_bid_logs_ibfk_1	ad_bid_logs	ad_slot_id	ad_slots	ad_slot_id
ad_bid_logs_ibfk_2	ad_bid_logs	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_bid_logs_ibfk_3	ad_bid_logs	target_user_id	users	user_id
ad_billing_records_ibfk_1	ad_billing_records	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_billing_records_ibfk_2	ad_billing_records	advertiser_user_id	users	user_id
ad_campaigns_ibfk_1	ad_campaigns	advertiser_user_id	users	user_id
ad_campaigns_ibfk_2	ad_campaigns	ad_slot_id	ad_slots	ad_slot_id
ad_campaigns_ibfk_3	ad_campaigns	reviewed_by	users	user_id
ad_click_logs_ibfk_1	ad_click_logs	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_click_logs_ibfk_2	ad_click_logs	user_id	users	user_id
ad_click_logs_ibfk_3	ad_click_logs	ad_slot_id	ad_slots	ad_slot_id
ad_creatives_ibfk_1	ad_creatives	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_creatives_ibfk_2	ad_creatives	reviewed_by	users	user_id
ad_creatives_primary_media_id_foreign_idx	ad_creatives	primary_media_id	media_files	media_id
ad_impression_logs_ibfk_1	ad_impression_logs	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_impression_logs_ibfk_2	ad_impression_logs	user_id	users	user_id
ad_impression_logs_ibfk_3	ad_impression_logs	ad_slot_id	ad_slots	ad_slot_id
ad_interaction_logs_ibfk_1	ad_interaction_logs	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_interaction_logs_ibfk_2	ad_interaction_logs	user_id	users	user_id
ad_interaction_logs_ibfk_3	ad_interaction_logs	ad_slot_id	ad_slots	ad_slot_id
ad_report_daily_snapshots_ibfk_1	ad_report_daily_snapshots	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_report_daily_snapshots_ibfk_2	ad_report_daily_snapshots	ad_slot_id	ad_slots	ad_slot_id
ad_slots_zone_id_foreign_idx	ad_slots	zone_id	ad_target_zones	zone_id
ad_target_zones_ibfk_1	ad_target_zones	parent_zone_id	ad_target_zones	zone_id
ad_zone_group_members_ibfk_1	ad_zone_group_members	group_id	ad_zone_groups	group_id
ad_zone_group_members_ibfk_2	ad_zone_group_members	zone_id	ad_target_zones	zone_id
admin_notifications_ibfk_1	admin_notifications	admin_id	users	user_id
admin_operation_logs_ibfk_1	admin_operation_logs	operator_id	users	user_id
fk_aci_review	approval_chain_instances	content_review_record_id	content_review_records	content_review_record_id
