TABLE_NAME	ENGINE	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH	AUTO_INCREMENT	TABLE_COLLATION	CREATE_TIME	UPDATE_TIME
account_asset_balances	InnoDB	103	16384	65536	504	utf8mb4_unicode_ci	2026-02-01 22:27:21	NULL
accounts	InnoDB	113	16384	49152	493	utf8mb4_unicode_ci	2025-12-15 16:36:41	NULL
ad_antifraud_logs	InnoDB	0	16384	32768	11	utf8mb4_unicode_ci	2026-02-18 13:57:51	NULL
ad_attribution_logs	InnoDB	0	16384	81920	6	utf8mb4_unicode_ci	2026-02-18 13:57:51	NULL
ad_bid_logs	InnoDB	0	16384	49152	122	utf8mb4_unicode_ci	2026-02-18 13:57:51	NULL
ad_billing_records	InnoDB	0	16384	98304	1	utf8mb4_unicode_ci	2026-03-22 21:11:46	NULL
ad_campaigns	InnoDB	0	16384	114688	143	utf8mb4_unicode_ci	2026-02-22 04:12:49	NULL
ad_click_logs	InnoDB	0	16384	49152	11	utf8mb4_unicode_ci	2026-02-18 13:57:51	NULL
ad_creatives	InnoDB	0	16384	65536	131	utf8mb4_unicode_ci	2026-03-17 12:21:29	NULL
ad_dau_daily_stats	InnoDB	8	16384	16384	37	utf8mb4_unicode_ci	2026-03-01 23:12:30	2026-04-01 16:30:00
ad_impression_logs	InnoDB	0	16384	65536	17	utf8mb4_unicode_ci	2026-02-18 13:57:51	NULL
ad_interaction_logs	InnoDB	0	16384	81920	117	utf8mb4_unicode_ci	2026-02-22 04:12:49	NULL
ad_price_adjustment_logs	InnoDB	0	16384	0	1	utf8mb4_unicode_ci	2026-03-01 23:17:12	NULL
ad_report_daily_snapshots	InnoDB	0	16384	49152	13	utf8mb4_unicode_ci	2026-02-18 13:57:51	NULL
ad_slots	InnoDB	7	16384	32768	16	utf8mb4_unicode_ci	2026-03-02 12:20:04	NULL
ad_target_zones	InnoDB	1	16384	16384	3	utf8mb4_unicode_ci	2026-03-01 23:17:12	NULL
ad_zone_group_members	InnoDB	0	16384	32768	2	utf8mb4_unicode_ci	2026-03-01 23:17:12	NULL
ad_zone_groups	InnoDB	0	16384	0	1	utf8mb4_unicode_ci	2026-03-01 23:17:12	NULL
admin_notifications	InnoDB	14650	11026432	2359296	23402	utf8mb4_unicode_ci	2026-02-01 07:58:13	2026-04-01 18:05:02
admin_operation_logs	InnoDB	6199	4734976	3588096	8026	utf8mb4_unicode_ci	2026-03-14 22:41:42	2026-03-31 19:10:00
administrative_regions	InnoDB	44569	3686400	8454144	NULL	utf8mb4_unicode_ci	2026-01-12 00:17:42	NULL
alert_silence_rules	InnoDB	0	16384	0	1	utf8mb4_unicode_ci	2026-02-03 00:20:01	NULL
api_idempotency_requests	InnoDB	0	16384	65536	4026741	utf8mb4_unicode_ci	2026-02-01 07:58:14	2026-03-31 19:10:00
approval_chain_instances	InnoDB	56	16384	98304	269	utf8mb4_unicode_ci	2026-03-10 00:15:30	NULL
approval_chain_nodes	InnoDB	4	16384	65536	11	utf8mb4_unicode_ci	2026-03-10 00:15:30	NULL
approval_chain_steps	InnoDB	56	16384	98304	269	utf8mb4_unicode_ci	2026-03-10 00:15:30	NULL
approval_chain_templates	InnoDB	2	16384	49152	7	utf8mb4_unicode_ci	2026-03-10 00:15:30	NULL
asset_group_defs	InnoDB	9	16384	0	NULL	utf8mb4_unicode_ci	2026-01-14 22:13:46	NULL
asset_transactions	InnoDB	76705	32047104	43712512	133640	utf8mb4_unicode_ci	2026-03-22 21:11:46	NULL
attribute_options	InnoDB	0	16384	16384	1	utf8mb4_unicode_ci	2026-03-20 18:11:13	NULL
attributes	InnoDB	0	16384	16384	1	utf8mb4_unicode_ci	2026-03-20 18:11:13	NULL
auction_bids	InnoDB	0	16384	49152	1	utf8mb4_unicode_ci	2026-03-24 16:42:06	NULL
auction_listings	InnoDB	0	16384	98304	2	utf8mb4_unicode_ci	2026-03-24 16:42:06	NULL
authentication_sessions	InnoDB	67	16384	81920	15889	utf8mb4_unicode_ci	2026-02-20 12:20:05	2026-03-31 21:00:00
batch_operation_logs	InnoDB	88	81920	98304	91	utf8mb4_unicode_ci	2026-02-01 07:58:13	NULL
bid_products	InnoDB	0	16384	114688	5	utf8mb4_unicode_ci	2026-03-22 02:59:34	NULL
bid_records	InnoDB	0	16384	49152	1	utf8mb4_unicode_ci	2026-02-14 22:06:46	NULL
categories	InnoDB	29	16384	81920	195	utf8mb4_unicode_ci	2026-03-23 12:20:04	2026-03-31 11:32:12
category_attributes	InnoDB	0	16384	32768	1	utf8mb4_unicode_ci	2026-03-20 18:11:13	NULL
chat_messages	InnoDB	38	16384	98304	22719	utf8mb4_unicode_ci	2026-02-01 07:59:17	NULL
consumption_records	InnoDB	48	16384	262144	2818	utf8mb4_unicode_ci	2026-03-22 21:11:46	NULL
content_review_records	InnoDB	113	49152	81920	5861	utf8mb4_unicode_ci	2026-02-01 07:58:13	NULL
customer_service_agents	InnoDB	0	16384	49152	4	utf8mb4_unicode_ci	2026-02-20 03:58:00	NULL
