TABLE_NAME	INDEX_NAME	NON_UNIQUE	SEQ_IN_INDEX	COLUMN_NAME	INDEX_TYPE	SUB_PART	NULLABLE
account_asset_balances	idx_account_asset_balances_account_id	1	1	account_id	BTREE	NULL	
account_asset_balances	idx_account_asset_balances_asset_code	1	1	asset_code	BTREE	NULL	
account_asset_balances	idx_account_asset_balances_lottery_campaign_id	1	1	lottery_campaign_id	BTREE	NULL	YES
account_asset_balances	PRIMARY	0	1	account_asset_balance_id	BTREE	NULL	
account_asset_balances	uk_account_asset_lottery_campaign_key	0	1	account_id	BTREE	NULL	
account_asset_balances	uk_account_asset_lottery_campaign_key	0	2	asset_code	BTREE	NULL	
account_asset_balances	uk_account_asset_lottery_campaign_key	0	3	lottery_campaign_key	BTREE	NULL	
accounts	idx_accounts_type_status	1	1	account_type	BTREE	NULL	
accounts	idx_accounts_type_status	1	2	status	BTREE	NULL	
accounts	PRIMARY	0	1	account_id	BTREE	NULL	
accounts	uk_accounts_system_code	0	1	system_code	BTREE	NULL	YES
accounts	uk_accounts_user_id	0	1	user_id	BTREE	NULL	YES
ad_antifraud_logs	idx_aaf_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_antifraud_logs	idx_aaf_user	1	1	user_id	BTREE	NULL	
ad_antifraud_logs	PRIMARY	0	1	ad_antifraud_log_id	BTREE	NULL	
ad_attribution_logs	ad_click_log_id	1	1	ad_click_log_id	BTREE	NULL	
ad_attribution_logs	idx_aal_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_attribution_logs	idx_aal_click_at	1	1	click_at	BTREE	NULL	
ad_attribution_logs	idx_aal_type	1	1	conversion_type	BTREE	NULL	
ad_attribution_logs	idx_aal_user	1	1	user_id	BTREE	NULL	
ad_attribution_logs	PRIMARY	0	1	ad_attribution_log_id	BTREE	NULL	
ad_bid_logs	idx_abl_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_bid_logs	idx_abl_slot_time	1	1	ad_slot_id	BTREE	NULL	
ad_bid_logs	idx_abl_slot_time	1	2	bid_at	BTREE	NULL	
ad_bid_logs	idx_abl_user	1	1	target_user_id	BTREE	NULL	YES
ad_bid_logs	PRIMARY	0	1	ad_bid_log_id	BTREE	NULL	
ad_billing_records	advertiser_user_id	1	1	advertiser_user_id	BTREE	NULL	
ad_billing_records	business_id	0	1	business_id	BTREE	NULL	
ad_billing_records	idx_abr_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_billing_records	idx_abr_date	1	1	billing_date	BTREE	NULL	
ad_billing_records	idx_abr_type	1	1	billing_type	BTREE	NULL	
ad_billing_records	PRIMARY	0	1	ad_billing_record_id	BTREE	NULL	
ad_billing_records	uk_ad_billing_records_billing_no	0	1	billing_no	BTREE	NULL	
ad_campaigns	business_id	0	1	business_id	BTREE	NULL	
ad_campaigns	idx_ac_advertiser	1	1	advertiser_user_id	BTREE	NULL	YES
ad_campaigns	idx_ac_billing_status	1	1	billing_mode	BTREE	NULL	
ad_campaigns	idx_ac_billing_status	1	2	status	BTREE	NULL	
ad_campaigns	idx_ac_slot	1	1	ad_slot_id	BTREE	NULL	
ad_campaigns	idx_ac_status	1	1	status	BTREE	NULL	
ad_campaigns	idx_campaign_category	1	1	campaign_category	BTREE	NULL	
ad_campaigns	PRIMARY	0	1	ad_campaign_id	BTREE	NULL	
ad_campaigns	reviewed_by	1	1	reviewed_by	BTREE	NULL	YES
ad_click_logs	ad_slot_id	1	1	ad_slot_id	BTREE	NULL	
ad_click_logs	idx_acl_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_click_logs	idx_acl_user_created	1	1	user_id	BTREE	NULL	
ad_click_logs	idx_acl_user_created	1	2	created_at	BTREE	NULL	
ad_click_logs	PRIMARY	0	1	ad_click_log_id	BTREE	NULL	
ad_creatives	ad_creatives_primary_media_id_foreign_idx	1	1	primary_media_id	BTREE	NULL	YES
ad_creatives	idx_acr_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_creatives	idx_acr_review	1	1	review_status	BTREE	NULL	
ad_creatives	PRIMARY	0	1	ad_creative_id	BTREE	NULL	
ad_creatives	reviewed_by	1	1	reviewed_by	BTREE	NULL	YES
ad_dau_daily_stats	PRIMARY	0	1	ad_dau_daily_stat_id	BTREE	NULL	
ad_dau_daily_stats	stat_date	0	1	stat_date	BTREE	NULL	
ad_impression_logs	ad_slot_id	1	1	ad_slot_id	BTREE	NULL	
ad_impression_logs	idx_ail_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_impression_logs	idx_ail_created	1	1	created_at	BTREE	NULL	
ad_impression_logs	idx_ail_user	1	1	user_id	BTREE	NULL	
ad_impression_logs	PRIMARY	0	1	ad_impression_log_id	BTREE	NULL	
ad_interaction_logs	ad_slot_id	1	1	ad_slot_id	BTREE	NULL	YES
ad_interaction_logs	idx_ail_campaign	1	1	ad_campaign_id	BTREE	NULL	
ad_interaction_logs	idx_ail_created	1	1	created_at	BTREE	NULL	
ad_interaction_logs	idx_ail_type	1	1	interaction_type	BTREE	NULL	
ad_interaction_logs	idx_ail_user	1	1	user_id	BTREE	NULL	
ad_interaction_logs	PRIMARY	0	1	ad_interaction_log_id	BTREE	NULL	
ad_price_adjustment_logs	PRIMARY	0	1	ad_price_adjustment_log_id	BTREE	NULL	
ad_report_daily_snapshots	ad_campaign_id	1	1	ad_campaign_id	BTREE	NULL	
ad_report_daily_snapshots	ad_slot_id	1	1	ad_slot_id	BTREE	NULL	
ad_report_daily_snapshots	PRIMARY	0	1	snapshot_id	BTREE	NULL	
ad_report_daily_snapshots	uk_ards_date_campaign_slot	0	1	snapshot_date	BTREE	NULL	
ad_report_daily_snapshots	uk_ards_date_campaign_slot	0	2	ad_campaign_id	BTREE	NULL	
ad_report_daily_snapshots	uk_ards_date_campaign_slot	0	3	ad_slot_id	BTREE	NULL	
ad_slots	ad_slots_zone_id_foreign_idx	1	1	zone_id	BTREE	NULL	YES
ad_slots	PRIMARY	0	1	ad_slot_id	BTREE	NULL	
ad_slots	slot_key	0	1	slot_key	BTREE	NULL	
ad_target_zones	parent_zone_id	1	1	parent_zone_id	BTREE	NULL	YES
ad_target_zones	PRIMARY	0	1	zone_id	BTREE	NULL	
ad_zone_group_members	PRIMARY	0	1	ad_zone_group_member_id	BTREE	NULL	
ad_zone_group_members	uk_group_zone	0	1	group_id	BTREE	NULL	
ad_zone_group_members	uk_group_zone	0	2	zone_id	BTREE	NULL	
ad_zone_group_members	zone_id	1	1	zone_id	BTREE	NULL	
ad_zone_groups	PRIMARY	0	1	group_id	BTREE	NULL	
admin_notifications	idx_admin_notifications_admin_read	1	1	admin_id	BTREE	NULL	
admin_notifications	idx_admin_notifications_admin_read	1	2	is_read	BTREE	NULL	
admin_notifications	idx_admin_notifications_priority_read	1	1	priority	BTREE	NULL	
admin_notifications	idx_admin_notifications_priority_read	1	2	is_read	BTREE	NULL	
admin_notifications	idx_admin_notifications_source	1	1	source_type	BTREE	NULL	YES
admin_notifications	idx_admin_notifications_source	1	2	source_id	BTREE	NULL	YES
admin_notifications	idx_admin_notifications_type_created	1	1	notification_type	BTREE	NULL	
admin_notifications	idx_admin_notifications_type_created	1	2	created_at	BTREE	NULL	
admin_notifications	PRIMARY	0	1	admin_notification_id	BTREE	NULL	
admin_operation_logs	idx_audit_logs_approval_status	1	1	approval_status	BTREE	NULL	
admin_operation_logs	idx_audit_logs_created	1	1	created_at	BTREE	NULL	
admin_operation_logs	idx_audit_logs_ip	1	1	ip_address	BTREE	NULL	YES
admin_operation_logs	idx_audit_logs_operation_type	1	1	operation_type	BTREE	NULL	
