TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
account_asset_balances	account_asset_balances_ibfk_1	FOREIGN KEY	account_id	accounts	account_id
account_asset_balances	chk_available_non_negative	CHECK	NULL	NULL	NULL
account_asset_balances	chk_budget_points_lottery_campaign	CHECK	NULL	NULL	NULL
account_asset_balances	chk_frozen_amount_non_negative	CHECK	NULL	NULL	NULL
account_asset_balances	PRIMARY	PRIMARY KEY	account_asset_balance_id	NULL	NULL
account_asset_balances	uk_account_asset_lottery_campaign_key	UNIQUE	account_id	NULL	NULL
account_asset_balances	uk_account_asset_lottery_campaign_key	UNIQUE	asset_code	NULL	NULL
account_asset_balances	uk_account_asset_lottery_campaign_key	UNIQUE	lottery_campaign_key	NULL	NULL
accounts	accounts_ibfk_1	FOREIGN KEY	user_id	users	user_id
accounts	PRIMARY	PRIMARY KEY	account_id	NULL	NULL
accounts	uk_accounts_system_code	UNIQUE	system_code	NULL	NULL
accounts	uk_accounts_user_id	UNIQUE	user_id	NULL	NULL
ad_antifraud_logs	PRIMARY	PRIMARY KEY	ad_antifraud_log_id	NULL	NULL
ad_attribution_logs	ad_attribution_logs_ibfk_1	FOREIGN KEY	ad_click_log_id	ad_click_logs	ad_click_log_id
ad_attribution_logs	ad_attribution_logs_ibfk_2	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_attribution_logs	ad_attribution_logs_ibfk_3	FOREIGN KEY	user_id	users	user_id
ad_attribution_logs	PRIMARY	PRIMARY KEY	ad_attribution_log_id	NULL	NULL
ad_bid_logs	ad_bid_logs_ibfk_1	FOREIGN KEY	ad_slot_id	ad_slots	ad_slot_id
ad_bid_logs	ad_bid_logs_ibfk_2	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_bid_logs	ad_bid_logs_ibfk_3	FOREIGN KEY	target_user_id	users	user_id
ad_bid_logs	PRIMARY	PRIMARY KEY	ad_bid_log_id	NULL	NULL
ad_billing_records	ad_billing_records_ibfk_1	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_billing_records	ad_billing_records_ibfk_2	FOREIGN KEY	advertiser_user_id	users	user_id
ad_billing_records	business_id	UNIQUE	business_id	NULL	NULL
ad_billing_records	PRIMARY	PRIMARY KEY	ad_billing_record_id	NULL	NULL
ad_billing_records	uk_ad_billing_records_billing_no	UNIQUE	billing_no	NULL	NULL
ad_campaigns	ad_campaigns_ibfk_1	FOREIGN KEY	advertiser_user_id	users	user_id
ad_campaigns	ad_campaigns_ibfk_2	FOREIGN KEY	ad_slot_id	ad_slots	ad_slot_id
ad_campaigns	ad_campaigns_ibfk_3	FOREIGN KEY	reviewed_by	users	user_id
ad_campaigns	business_id	UNIQUE	business_id	NULL	NULL
ad_campaigns	PRIMARY	PRIMARY KEY	ad_campaign_id	NULL	NULL
ad_click_logs	ad_click_logs_ibfk_1	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_click_logs	ad_click_logs_ibfk_2	FOREIGN KEY	user_id	users	user_id
ad_click_logs	ad_click_logs_ibfk_3	FOREIGN KEY	ad_slot_id	ad_slots	ad_slot_id
ad_click_logs	PRIMARY	PRIMARY KEY	ad_click_log_id	NULL	NULL
ad_creatives	ad_creatives_ibfk_1	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_creatives	ad_creatives_ibfk_2	FOREIGN KEY	reviewed_by	users	user_id
ad_creatives	ad_creatives_primary_media_id_foreign_idx	FOREIGN KEY	primary_media_id	media_files	media_id
ad_creatives	PRIMARY	PRIMARY KEY	ad_creative_id	NULL	NULL
ad_dau_daily_stats	PRIMARY	PRIMARY KEY	ad_dau_daily_stat_id	NULL	NULL
ad_dau_daily_stats	stat_date	UNIQUE	stat_date	NULL	NULL
ad_impression_logs	ad_impression_logs_ibfk_1	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_impression_logs	ad_impression_logs_ibfk_2	FOREIGN KEY	user_id	users	user_id
ad_impression_logs	ad_impression_logs_ibfk_3	FOREIGN KEY	ad_slot_id	ad_slots	ad_slot_id
ad_impression_logs	PRIMARY	PRIMARY KEY	ad_impression_log_id	NULL	NULL
ad_interaction_logs	ad_interaction_logs_ibfk_1	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_interaction_logs	ad_interaction_logs_ibfk_2	FOREIGN KEY	user_id	users	user_id
ad_interaction_logs	ad_interaction_logs_ibfk_3	FOREIGN KEY	ad_slot_id	ad_slots	ad_slot_id
ad_interaction_logs	PRIMARY	PRIMARY KEY	ad_interaction_log_id	NULL	NULL
ad_price_adjustment_logs	PRIMARY	PRIMARY KEY	ad_price_adjustment_log_id	NULL	NULL
ad_report_daily_snapshots	ad_report_daily_snapshots_ibfk_1	FOREIGN KEY	ad_campaign_id	ad_campaigns	ad_campaign_id
ad_report_daily_snapshots	ad_report_daily_snapshots_ibfk_2	FOREIGN KEY	ad_slot_id	ad_slots	ad_slot_id
ad_report_daily_snapshots	PRIMARY	PRIMARY KEY	snapshot_id	NULL	NULL
ad_report_daily_snapshots	uk_ards_date_campaign_slot	UNIQUE	snapshot_date	NULL	NULL
ad_report_daily_snapshots	uk_ards_date_campaign_slot	UNIQUE	ad_campaign_id	NULL	NULL
ad_report_daily_snapshots	uk_ards_date_campaign_slot	UNIQUE	ad_slot_id	NULL	NULL
ad_slots	ad_slots_zone_id_foreign_idx	FOREIGN KEY	zone_id	ad_target_zones	zone_id
ad_slots	PRIMARY	PRIMARY KEY	ad_slot_id	NULL	NULL
ad_slots	slot_key	UNIQUE	slot_key	NULL	NULL
ad_target_zones	ad_target_zones_ibfk_1	FOREIGN KEY	parent_zone_id	ad_target_zones	zone_id
ad_target_zones	PRIMARY	PRIMARY KEY	zone_id	NULL	NULL
ad_zone_group_members	ad_zone_group_members_ibfk_1	FOREIGN KEY	group_id	ad_zone_groups	group_id
ad_zone_group_members	ad_zone_group_members_ibfk_2	FOREIGN KEY	zone_id	ad_target_zones	zone_id
ad_zone_group_members	PRIMARY	PRIMARY KEY	ad_zone_group_member_id	NULL	NULL
ad_zone_group_members	uk_group_zone	UNIQUE	group_id	NULL	NULL
ad_zone_group_members	uk_group_zone	UNIQUE	zone_id	NULL	NULL
ad_zone_groups	PRIMARY	PRIMARY KEY	group_id	NULL	NULL
admin_notifications	admin_notifications_ibfk_1	FOREIGN KEY	admin_id	users	user_id
admin_notifications	PRIMARY	PRIMARY KEY	admin_notification_id	NULL	NULL
administrative_regions	PRIMARY	PRIMARY KEY	region_code	NULL	NULL
alert_silence_rules	PRIMARY	PRIMARY KEY	alert_silence_rule_id	NULL	NULL
api_idempotency_requests	idempotency_key	UNIQUE	idempotency_key	NULL	NULL
